id;departamento_codigo;departamento_descripcion
1;14;CANINDEYU
2;13;AMAMBAY
3;12;ÑEEMBUCU
4;7;ITAPUA
5;6;CAAZAPA
6;4;GUAIRA
7;2;SAN PEDRO
8;8;MISIONES
9;11;CENTRAL
10;0;ASUNCION
11;16;BOQUERON
12;1;CONCEPCION
13;15;PRESIDENTE HAYES
14;10;ALTO PARANA
15;3;CORDILLERA
16;17;ALTO PARAGUAY
17;5;CAAGUAZU
18;9;PARAGUARI
